행정구역,2022년01월_남자 인구수,2022년02월_남자 인구수,2022년03월_남자 인구수,2022년04월_남자 인구수,2022년05월_남자 인구수,2022년06월_남자 인구수,2022년07월_남자 인구수,2022년08월_남자 인구수,2022년09월_남자 인구수,2022년10월_남자 인구수,2022년11월_남자 인구수,2022년12월_남자 인구수,2023년01월_남자 인구수,2023년02월_남자 인구수,2023년03월_남자 인구수,2023년04월_남자 인구수,2023년05월_남자 인구수,2023년06월_남자 인구수,2023년07월_남자 인구수,2023년08월_남자 인구수,2023년09월_남자 인구수,2023년10월_남자 인구수,2023년11월_남자 인구수,2023년12월_남자 인구수,2024년01월_남자 인구수,2024년02월_남자 인구수,2024년03월_남자 인구수,2024년04월_남자 인구수,2024년05월_남자 인구수,2024년06월_남자 인구수,2024년07월_남자 인구수,2024년08월_남자 인구수,2024년09월_남자 인구수,2024년10월_남자 인구수,2024년11월_남자 인구수,2024년12월_남자 인구수,2025년01월_남자 인구수,2025년02월_남자 인구수,2025년03월_남자 인구수,2025년04월_남자 인구수,2025년05월_남자 인구수,2025년06월_남자 인구수,2025년07월_남자 인구수,2025년08월_남자 인구수,2025년09월_남자 인구수,2025년10월_남자 인구수,2025년11월_남자 인구수,2025년12월_남자 인구수,2026년01월_남자 인구수,2026년02월_남자 인구수
서울특별시  (1100000000),"4,615,631","4,615,823","4,613,910","4,610,082","4,607,440","4,605,655","4,604,405","4,601,295","4,582,361","4,578,459","4,574,781","4,570,048","4,567,739","4,567,957","4,566,299","4,563,512","4,560,702","4,557,609","4,555,784","4,554,020","4,552,501","4,548,150","4,543,055","4,540,031","4,538,354","4,538,306","4,536,128","4,532,115","4,528,234","4,524,862","4,521,316","4,518,536","4,515,791","4,511,734","4,507,664","4,505,355","4,504,432","4,505,412","4,504,618","4,501,804","4,499,145","4,497,354","4,495,747","4,494,474","4,491,997","4,489,067","4,484,604","4,481,099","4,480,849","4,482,300"
부산광역시  (2600000000),"1,638,207","1,637,111","1,634,958","1,633,170","1,631,825","1,630,944","1,629,643","1,627,821","1,623,784","1,622,749","1,621,486","1,619,915","1,618,749","1,618,202","1,616,930","1,615,593","1,614,226","1,613,071","1,611,959","1,610,738","1,609,650","1,608,156","1,606,680","1,605,431","1,603,859","1,602,971","1,601,773","1,600,234","1,599,048","1,597,869","1,596,494","1,594,978","1,593,783","1,592,440","1,591,231","1,589,912","1,588,357","1,587,357","1,585,597","1,584,035","1,582,928","1,582,043","1,581,251","1,580,238","1,579,327","1,578,085","1,576,765","1,575,600","1,574,469","1,574,040"
대구광역시  (2700000000),"1,174,667","1,173,039","1,172,632","1,171,451","1,170,309","1,169,571","1,168,845","1,167,564","1,165,326","1,164,728","1,164,024","1,162,865","1,162,217","1,160,942","1,159,876","1,159,042","1,158,397","1,157,923","1,169,503","1,169,083","1,168,679","1,168,087","1,167,480","1,166,803","1,166,110","1,165,024","1,163,911","1,163,001","1,162,463","1,162,046","1,161,549","1,161,164","1,160,812","1,160,429","1,160,074","1,159,601","1,159,235","1,158,607","1,157,424","1,156,613","1,155,934","1,155,353","1,155,185","1,154,753","1,154,611","1,154,160","1,153,392","1,152,579","1,152,176","1,151,654"
인천광역시  (2800000000),"1,476,663","1,477,432","1,478,272","1,478,514","1,479,428","1,480,432","1,482,177","1,483,370","1,481,896","1,483,026","1,484,103","1,485,175","1,486,300","1,487,333","1,488,490","1,489,277","1,490,065","1,490,345","1,491,638","1,493,440","1,494,725","1,495,744","1,497,231","1,499,016","1,500,414","1,501,543","1,502,956","1,504,078","1,504,618","1,505,177","1,505,953","1,506,680","1,507,439","1,507,849","1,508,189","1,509,243","1,510,615","1,512,651","1,514,643","1,515,919","1,517,498","1,518,758","1,519,326","1,520,100","1,521,985","1,523,210","1,523,769","1,524,286","1,524,774","1,525,266"
광주광역시  (2900000000),"713,037","712,199","711,289","710,524","710,062","709,685","709,305","709,090","708,248","708,119","707,815","707,299","706,724","706,167","705,471","704,974","704,489","703,887","703,548","703,131","702,748","702,121","701,645","700,896","700,377","699,715","699,084","698,628","698,255","697,904","697,557","697,079","696,711","696,227","695,854","695,224","694,532","693,552","692,193","691,334","690,826","690,429","690,124","689,731","689,326","688,690","687,996","686,799","686,113","685,321"
대전광역시  (3000000000),"724,026","723,812","723,361","723,063","722,840","722,517","722,366","722,486","721,604","721,745","721,609","721,245","721,037","721,195","721,051","720,934","720,874","720,783","720,637","720,688","720,520","720,207","719,805","719,292","719,008","718,931","718,943","718,797","718,696","718,295","717,887","717,878","718,109","717,893","717,664","717,291","717,162","717,573","717,532","717,423","717,511","717,456","718,010","718,458","718,760","718,579","718,512","717,936","717,710","718,084"
울산광역시  (3100000000),"575,939","575,165","574,444","573,984","573,619","573,152","572,615","571,867","571,248","570,960","570,756","570,368","570,113","569,576","569,131","568,824","568,518","568,302","567,947","567,403","567,314","567,309","567,145","567,153","567,081","566,604","566,352","566,255","566,063","565,890","565,679","565,290","565,067","565,011","564,865","564,888","564,893","563,999","563,688","563,471","563,339","563,241","563,050","563,014","562,946","563,285","563,204","562,926","562,579","561,965"
세종특별자치시  (3600000000),"186,907","187,858","188,356","188,778","189,302","189,723","190,038","190,276","190,541","190,683","190,987","191,389","191,769","192,110","192,212","192,316","192,393","192,435","192,449","192,271","192,246","192,299","192,396","192,524","192,704","192,836","192,907","193,099","193,044","193,149","193,538","193,826","193,854","194,110","194,407","194,413","194,470","194,967","194,941","195,101","195,189","195,248","195,253","195,152","195,235","195,359","195,364","195,107","194,897","194,784"
경기도  (4100000000),"6,830,317","6,831,902","6,832,830","6,833,859","6,835,968","6,838,396","6,840,138","6,840,757","6,832,856","6,835,151","6,836,309","6,839,276","6,842,226","6,844,167","6,845,505","6,847,848","6,850,133","6,852,980","6,854,747","6,855,409","6,855,626","6,855,616","6,855,041","6,855,895","6,857,867","6,859,811","6,860,823","6,863,252","6,866,117","6,868,886","6,872,643","6,875,411","6,877,300","6,879,539","6,880,565","6,882,186","6,884,215","6,883,368","6,883,349","6,884,608","6,886,034","6,888,166","6,889,738","6,891,841","6,891,911","6,893,167","6,892,986","6,894,990","6,897,544","6,899,712"
강원도  (4200000000),"774,315","774,543","774,522","774,562","774,458","774,405","774,387","774,193","773,576","773,491","773,182","772,947","772,297","771,758","771,574","771,382","771,322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
