행정구역,2022년01월_여자 인구수,2022년02월_여자 인구수,2022년03월_여자 인구수,2022년04월_여자 인구수,2022년05월_여자 인구수,2022년06월_여자 인구수,2022년07월_여자 인구수,2022년08월_여자 인구수,2022년09월_여자 인구수,2022년10월_여자 인구수,2022년11월_여자 인구수,2022년12월_여자 인구수,2023년01월_여자 인구수,2023년02월_여자 인구수,2023년03월_여자 인구수,2023년04월_여자 인구수,2023년05월_여자 인구수,2023년06월_여자 인구수,2023년07월_여자 인구수,2023년08월_여자 인구수,2023년09월_여자 인구수,2023년10월_여자 인구수,2023년11월_여자 인구수,2023년12월_여자 인구수,2024년01월_여자 인구수,2024년02월_여자 인구수,2024년03월_여자 인구수,2024년04월_여자 인구수,2024년05월_여자 인구수,2024년06월_여자 인구수,2024년07월_여자 인구수,2024년08월_여자 인구수,2024년09월_여자 인구수,2024년10월_여자 인구수,2024년11월_여자 인구수,2024년12월_여자 인구수,2025년01월_여자 인구수,2025년02월_여자 인구수,2025년03월_여자 인구수,2025년04월_여자 인구수,2025년05월_여자 인구수,2025년06월_여자 인구수,2025년07월_여자 인구수,2025년08월_여자 인구수,2025년09월_여자 인구수,2025년10월_여자 인구수,2025년11월_여자 인구수,2025년12월_여자 인구수,2026년01월_여자 인구수,2026년02월_여자 인구수
서울특별시  (1100000000),"4,890,295","4,892,628","4,892,868","4,890,398","4,889,447","4,889,152","4,888,806","4,887,159","4,868,407","4,865,263","4,862,055","4,858,324","4,857,134","4,859,626","4,860,105","4,859,198","4,858,183","4,856,484","4,855,476","4,855,446","4,855,039","4,852,099","4,847,870","4,846,003","4,845,971","4,848,399","4,848,611","4,846,154","4,843,696","4,841,421","4,839,084","4,837,265","4,835,204","4,831,570","4,827,831","4,826,473","4,826,226","4,829,416","4,831,116","4,830,056","4,828,897","4,828,262","4,827,745","4,827,389","4,826,503","4,824,465","4,821,074","4,818,449","4,818,852","4,821,829"
부산광역시  (2600000000),"1,710,667","1,710,285","1,708,546","1,707,044","1,706,342","1,705,793","1,704,952","1,703,623","1,700,042","1,699,537","1,698,790","1,697,897","1,697,358","1,697,314","1,696,609","1,695,809","1,695,035","1,693,922","1,693,093","1,692,002","1,691,186","1,690,057","1,688,816","1,687,931","1,687,105","1,686,430","1,685,519","1,684,713","1,683,703","1,682,880","1,681,786","1,680,615","1,679,690","1,678,622","1,677,762","1,676,686","1,675,534","1,674,980","1,673,622","1,672,373","1,671,529","1,670,787","1,670,374","1,669,737","1,669,032","1,668,219","1,666,994","1,666,000","1,665,242","1,664,976"
대구광역시  (2700000000),"1,209,191","1,208,056","1,207,862","1,207,122","1,206,367","1,205,735","1,205,275","1,204,372","1,202,409","1,202,124","1,201,595","1,200,826","1,200,663","1,199,720","1,199,112","1,198,839","1,198,635","1,198,493","1,209,583","1,209,381","1,209,122","1,208,891","1,208,564","1,208,157","1,207,734","1,206,984","1,206,051","1,205,669","1,205,340","1,205,137","1,205,111","1,204,869","1,204,711","1,204,463","1,204,260","1,204,028","1,204,046","1,203,971","1,203,069","1,202,546","1,202,063","1,201,699","1,201,855","1,201,914","1,201,761","1,201,517","1,201,006","1,200,453","1,200,073","1,199,807"
인천광역시  (2800000000),"1,472,487","1,473,546","1,474,427","1,474,746","1,475,739","1,476,634","1,478,403","1,479,747","1,478,201","1,479,362","1,480,717","1,482,139","1,483,202","1,484,455","1,485,991","1,487,061","1,488,024","1,488,404","1,489,915","1,491,712","1,493,193","1,494,532","1,496,261","1,498,394","1,500,040","1,501,607","1,503,089","1,504,406","1,505,255","1,505,896","1,507,044","1,508,090","1,509,081","1,510,079","1,510,400","1,511,767","1,513,034","1,515,203","1,516,718","1,517,925","1,519,551","1,520,692","1,521,889","1,523,062","1,524,769","1,526,105","1,526,778","1,527,675","1,528,534","1,529,101"
광주광역시  (2900000000),"728,599","727,833","727,174","726,392","725,950","725,693","725,398","725,307","724,608","724,532","724,234","723,751","723,092","722,760","722,037","721,651","721,250","720,931","720,757","720,679","720,251","719,639","719,177","718,341","717,864","717,316","716,690","716,234","715,999","715,702","715,429","714,984","714,646","714,321","713,770","713,198","712,565","711,674","710,285","709,493","709,054","708,653","708,414","708,041","707,796","707,179","706,305","705,214","704,545","703,914"
대전광역시  (3000000000),"727,246","727,050","726,696","726,297","726,093","725,884","725,816","725,754","724,998","725,118","725,140","724,827","724,769","724,680","724,468","724,280","724,347","724,343","724,261","724,149","724,075","723,758","723,301","722,924","722,554","722,605","722,746","722,475","722,423","722,263","722,002","722,048","722,347","722,201","722,023","721,866","721,812","722,236","721,950","721,970","722,096","722,308","722,672","723,138","723,468","723,467","723,374","722,793","722,840","723,321"
울산광역시  (3100000000),"545,161","544,281","543,566","543,220","542,863","542,457","542,138","541,591","540,943","540,747","540,615","540,295","539,961","539,089","538,615","538,310","537,928","537,713","537,379","537,045","536,853","536,722","536,607","536,508","536,321","535,557","534,984","534,804","534,546","534,414","534,187","533,941","533,661","533,529","533,447","533,161","532,928","531,779","531,326","530,989","530,688","530,424","530,267","529,975","529,688","529,512","529,369","529,022","528,702","527,870"
세종특별자치시  (3600000000),"187,470","188,541","188,940","189,418","190,038","190,492","190,851","191,163","191,384","191,575","191,783","192,202","192,727","193,175","193,397","193,509","193,657","193,691","193,743","193,682","193,686","193,780","193,860","194,001","194,240","194,357","194,504","194,627","194,730","194,791","195,250","195,544","195,589","195,868","196,196","196,272","196,440","196,702","196,871","196,891","197,022","196,975","196,901","196,832","196,995","197,047","197,131","196,858","196,580","196,456"
경기도  (4100000000),"6,741,133","6,742,467","6,743,106","6,743,949","6,745,528","6,747,571","6,749,224","6,749,299","6,741,497","6,744,357","6,746,929","6,750,156","6,753,865","6,756,633","6,758,041","6,760,071","6,762,464","6,765,989","6,768,308","6,769,555","6,770,713","6,772,224","6,773,094","6,774,926","6,777,383","6,779,805","6,781,628","6,784,904","6,788,593","6,792,552","6,796,826","6,800,462","6,803,345","6,807,192","6,810,080","6,812,499","6,815,432","6,815,289","6,816,032","6,818,148","6,820,454","6,823,238","6,825,278","6,828,174","6,829,267","6,831,485","6,832,724","6,835,145","6,839,098","6,842,360"
강원도  (4200000000),"764,345","764,508","764,514","764,476","764,547","764,659","764,791","764,608","763,820","763,848","763,681","763,551","763,076","762,309","762,145","761,974","761,759",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
